short_id,name,home_country,average_home_demand,average_travelability
3990514473,Omar Sy,FR,41.30550625778899,0.9577925435112865
1079983415,Pearl Thusi,ZA,8.504201307652476,0.008631913050940803
1101186237,Thuso Mbedu,ZA,9.525529449692225,0.04910705314484883
867223115,Richard Mofe-Damijo,NG,7.083019130842076,0.008142759740007095
4059503986,Damson Idris,GB,15.962376896097544,1.3288457371176396
4241968704,Viola Davis,US,29.990152473388545,1.213311069123421
2287487609,John Boyega,GB,11.529783306930055,0.20889915802756975
2761879153,Idris Elba,GB,31.70961390839566,2.945259182779517
3691505792,Ayo Edebiri,US,28.346865073505473,0.7524610002947378
3429769562,Trevor Noah,ZA,22.961416626599632,0.49270472338295174
147671261,Funke Akindele,NG,39.40492643965705,0.11003895432759804
1824248451,Lupita Nyong'o,US,11.997840281858524,0.3186145509993565
3697147110,Issa Rae,US,22.346416134562823,0.33965144432838706
4246246965,Genevieve Nnaji,NG,21.643463445880645,0.08500473429742415
